,0
964,1
965,3
966,3
967,1
968,2
969,1
970,2
971,3
972,2
973,2
974,3
975,2
976,3
977,2
978,2
979,2
980,2
981,1
982,3
983,3
984,2
985,1
986,1
987,2
988,2
989,1
990,2
991,3
992,1
993,3
994,1
995,2
996,2
997,3
998,2
999,1
1000,3
1001,3
1002,3
1003,3
1004,2
1005,1
1006,3
1007,3
1008,2
1009,3
1010,1
1011,1
1012,1
1013,2
1014,3
1015,1
1016,2
1017,2
1018,2
1019,1
1020,2
1021,2
1022,2
1023,2
1024,2
1025,1
1026,2
1027,3
1028,2
1029,2
1030,1
1031,3
1032,2
1033,3
1034,2
1035,3
1036,2
1037,2
1038,3
1039,2
1040,2
1041,3
1042,2
1043,1
1044,2
1045,1
1046,1
1047,1
1048,1
1049,3
1050,3
1051,2
1052,2
1053,3
1054,3
1055,1
1056,3
1057,2
1058,3
1059,2
1060,2
1061,3
1062,2
1063,1
1064,3
1065,1
1066,1
1067,3
1068,1
1069,3
1070,3
1071,1
1072,1
1073,1
1074,3
1075,3
1076,1
1077,3
1078,3
1079,3
1080,1
1081,2
1082,1
1083,2
1084,1
1085,1
1086,2
1087,3
1088,3
1089,2
1090,2
1091,1
1092,1
1093,1
1094,1
1095,2
1096,1
1097,2
1098,3
1099,3
1100,2
1101,1
1102,2
1103,2
1104,2
1105,1
1106,1
1107,2
1108,1
1109,1
1110,3
1111,3
1112,2
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,2
1121,1
1122,3
1123,1
1124,2
1125,2
1126,1
1127,1
1128,2
1129,1
1130,1
1131,2
1132,2
1133,2
1134,2
1135,3
1136,2
1137,2
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,3
1146,1
1147,2
1148,3
1149,2
1150,1
1151,3
1152,3
1153,2
1154,3
1155,1
1156,1
1157,1
1158,2
1159,1
1160,1
1161,3
1162,1
1163,3
1164,1
1165,2
1166,1
1167,3
1168,3
1169,1
1170,3
1171,1
1172,1
1173,1
1174,2
1175,2
